Re(Z)/Ohm	-Im(Z)/Ohm	freq/Hz	Phase(Z)/deg	
2.2099098E+001	2.9708978E+002	1.0000371E+005	-8.5745872E+001
2.3248297E+001	3.3271616E+002	8.9129305E+004	-8.6002998E+001
2.4322168E+001	3.7234995E+002	7.9433273E+004	-8.6262711E+001
2.5551113E+001	4.1687479E+002	7.0794984E+004	-8.6492615E+001
2.7433758E+001	4.6717279E+002	6.3093828E+004	-8.6639282E+001
3.0416710E+001	5.2319403E+002	5.6237012E+004	-8.6672768E+001
3.2514572E+001	5.8604633E+002	5.0122477E+004	-8.6824417E+001
3.4632973E+001	6.5519763E+002	4.4666715E+004	-8.6974228E+001
3.7127529E+001	7.3240192E+002	3.9814063E+004	-8.7098000E+001
3.9954548E+001	8.2059320E+002	3.5481000E+004	-8.7212479E+001
4.3312443E+001	9.1883899E+002	3.1621143E+004	-8.7301178E+001
4.6774902E+001	1.0301780E+003	2.8188094E+004	-8.7400291E+001
5.1276432E+001	1.1520886E+003	2.5116906E+004	-8.7451599E+001
5.6148415E+001	1.2890690E+003	2.2389031E+004	-8.7505928E+001
6.1544971E+001	1.4422800E+003	1.9948781E+004	-8.7556557E+001
6.8679939E+001	1.6149312E+003	1.7786891E+004	-8.7564789E+001
7.6382240E+001	1.8081263E+003	1.5847683E+004	-8.7581039E+001
8.4780251E+001	2.0228678E+003	1.4121883E+004	-8.7600082E+001
9.4348640E+001	2.2612412E+003	1.2590930E+004	-8.7610764E+001
1.0503298E+002	2.5300850E+003	1.1217713E+004	-8.7622810E+001
1.1942661E+002	2.8279312E+003	1.0002226E+004	-8.7581772E+001
1.3598605E+002	3.1674670E+003	8.9149326E+003	-8.7541679E+001
1.5254184E+002	3.5471440E+003	7.9439951E+003	-8.7537560E+001
1.7078340E+002	3.9659946E+003	7.0815830E+003	-8.7534256E+001
2.0678293E+002	4.4402808E+003	6.3077358E+003	-8.7333672E+001
2.3385284E+002	4.9663262E+003	5.6225879E+003	-8.7304062E+001
2.6437674E+002	5.5474624E+003	5.0116030E+003	-8.7271507E+001
3.0107999E+002	6.2035903E+003	4.4664292E+003	-8.7221436E+001
3.4091992E+002	6.9400098E+003	3.9812773E+003	-8.7187675E+001
3.8744653E+002	7.7516685E+003	3.5488679E+003	-8.7138603E+001
4.4231500E+002	8.6735352E+003	3.1630398E+003	-8.7080681E+001
5.0155521E+002	9.6923340E+003	2.8190986E+003	-8.7037720E+001
5.7330908E+002	1.0839106E+004	2.5124104E+003	-8.6972298E+001
6.5742767E+002	1.2111374E+004	2.2392869E+003	-8.6892929E+001
7.4970294E+002	1.3536713E+004	1.9956381E+003	-8.6830032E+001
8.4966650E+002	1.5114561E+004	1.7782897E+003	-8.6782501E+001
9.7519568E+002	1.6886471E+004	1.5844927E+003	-8.6694832E+001
1.1222910E+003	1.8911723E+004	1.4127418E+003	-8.6603844E+001
1.2944263E+003	2.1151154E+004	1.2587905E+003	-8.6497932E+001
1.4527688E+003	2.3611637E+004	1.1217966E+003	-8.6479164E+001
1.6694270E+003	2.6384516E+004	9.9968164E+002	-8.6379555E+001
2.0502468E+003	2.9467889E+004	8.9142474E+002	-8.6020027E+001
2.3282698E+003	3.2937414E+004	7.9423932E+002	-8.5956619E+001
2.6236584E+003	3.6781301E+004	7.0796161E+002	-8.5919930E+001
2.9679849E+003	4.1003750E+004	6.3100977E+002	-8.5859962E+001
3.3522903E+003	4.5806234E+004	5.6233929E+002	-8.5814316E+001
3.8502793E+003	5.1127539E+004	5.0112231E+002	-8.5693336E+001
4.3276387E+003	5.7020461E+004	4.4657214E+002	-8.5659782E+001
4.8862495E+003	6.3604598E+004	3.9808899E+002	-8.5607033E+001
5.5486270E+003	7.1008680E+004	3.5488681E+002	-8.5531982E+001
6.2325977E+003	7.9182055E+004	3.1631589E+002	-8.5499397E+001
7.0530605E+003	8.8405313E+004	2.8189420E+002	-8.5438553E+001
8.7013281E+003	9.8396633E+004	2.5120601E+002	-8.4946411E+001
9.2080615E+003	1.1015267E+005	2.2392496E+002	-8.5221550E+001
1.0395956E+004	1.2266808E+005	1.9955338E+002	-8.5155838E+001
1.2052755E+004	1.3719389E+005	1.7778128E+002	-8.4979340E+001
1.4107579E+004	1.5199081E+005	1.5852898E+002	-8.4697075E+001
1.5170093E+004	1.6958948E+005	1.4121979E+002	-8.4888390E+001
1.7527363E+004	1.9013070E+005	1.2592673E+002	-8.4733025E+001
1.9989258E+004	2.1230163E+005	1.1219009E+002	-8.4621178E+001
2.5974430E+004	2.3819025E+005	9.9968163E+001	-8.3776543E+001
2.8968473E+004	2.6814456E+005	8.9115646E+001	-8.3834076E+001
3.3197262E+004	2.9744409E+005	7.9415741E+001	-8.3631660E+001
3.7015543E+004	3.3318491E+005	7.0793182E+001	-8.3660660E+001
2.9725316E+004	3.5320450E+005	6.3082279E+001	-8.5189384E+001
5.8035004E+004	3.9399359E+005	5.6241825E+001	-8.1620621E+001
-5.5733381E+005	6.9114150E+005	5.0112232E+001	-1.2888257E+002
8.9988297E+004	5.1463772E+005	4.4671223E+001	-8.0081673E+001
7.8201414E+004	5.7703550E+005	3.9808899E+001	-8.2282143E+001
9.9450266E+004	6.0118150E+005	3.5488308E+001	-8.0606926E+001
1.7264669E+005	7.4162506E+005	3.1629578E+001	-7.6895226E+001
1.2834499E+005	7.3318963E+005	2.8187037E+001	-8.0070961E+001
1.4496664E+005	8.7064138E+005	2.5120602E+001	-8.0546661E+001
1.6965397E+005	9.7624569E+005	2.2385418E+001	-8.0141479E+001
2.0468872E+005	1.0713323E+006	1.9955338E+001	-7.9183426E+001
2.7661019E+005	1.1172423E+006	1.7775894E+001	-7.6094170E+001
2.5130708E+005	1.3045415E+006	1.5846864E+001	-7.9096107E+001
2.8472841E+005	1.6253380E+006	1.4127493E+001	-8.0063690E+001
4.8904463E+005	1.7862576E+006	1.2587309E+001	-7.4688667E+001
5.7940831E+005	2.0126051E+006	1.1216775E+001	-7.3939438E+001
6.3544450E+005	2.1261580E+006	9.9968166E+000	-7.3360176E+001
7.4012000E+005	2.2003523E+006	8.9082127E+000	-7.1408897E+001
7.8082019E+005	2.6370913E+006	7.9395623E+000	-7.3506424E+001
9.4514088E+005	2.9352873E+006	7.0765615E+000	-7.2151825E+001
1.1175455E+006	3.2644823E+006	6.3105822E+000	-7.1102150E+001
1.4769291E+006	3.2870478E+006	5.6245475E+000	-6.5804771E+001
1.6514108E+006	3.6597118E+006	5.0112233E+000	-6.5713165E+001
1.8348636E+006	3.5480245E+006	4.4642835E+000	-6.2654221E+001
1.6008216E+006	4.7911110E+006	3.9819033E+000	-7.1524330E+001
2.7536810E+006	4.8242170E+006	3.5479143E+000	-6.0282116E+001
2.4071295E+006	4.7930610E+006	3.1629577E+000	-6.3333679E+001
3.1579125E+006	5.9443050E+006	2.8183610E+000	-6.2020523E+001
3.7224838E+006	5.2250085E+006	2.5112481E+000	-5.4532566E+001
4.1015200E+006	5.8083705E+006	2.2398233E+000	-5.4772575E+001
4.8943015E+006	5.5639930E+006	1.9950197E+000	-4.8663902E+001
5.9033415E+006	5.9846345E+006	1.7775893E+000	-4.5391796E+001
5.5282495E+006	6.3948970E+006	1.5846864E+000	-4.9157299E+001
5.7542390E+006	5.2771265E+006	1.4122353E+000	-4.2523472E+001
7.6711810E+006	6.2263985E+006	1.2582541E+000	-3.9064892E+001
8.3845345E+006	5.5356895E+006	1.1224822E+000	-3.3433838E+001
8.0344670E+006	6.2028205E+006	1.0000616E+000	-3.7669086E+001
8.5357860E+006	5.5965985E+006	8.9082122E-001	-3.3251369E+001
9.1754590E+006	5.5833130E+006	7.9444051E-001	-3.1320724E+001
1.1178699E+007	6.6171640E+006	7.0784986E-001	-3.0623158E+001
