Re(Z)/Ohm	-Im(Z)/Ohm	freq/Hz	Phase(Z)/deg	
1.0365685E+007	5.8747335E+006	6.3126236E-001	-2.9542320E+001
1.0718677E+007	5.3191910E+006	5.6253600E-001	-2.6393110E+001
1.2635440E+007	5.8907785E+006	5.0118715E-001	-2.4995443E+001
1.1859081E+007	5.7673305E+006	4.4642836E-001	-2.5934669E+001
1.2666146E+007	5.1085755E+006	3.9821118E-001	-2.1965460E+001
1.3558612E+007	5.0094125E+006	3.5475865E-001	-2.0277433E+001
1.2093259E+007	5.9269735E+006	3.1619295E-001	-2.6109730E+001
1.4405893E+007	4.7636645E+006	2.8191730E-001	-1.8297745E+001
1.3024573E+007	5.5955985E+006	2.5117323E-001	-2.3249258E+001
1.4191629E+007	5.0547385E+006	2.2391155E-001	-1.9604753E+001
1.4808846E+007	5.2461380E+006	1.9957349E-001	-1.9507050E+001
1.5872428E+007	6.3065160E+006	1.7779917E-001	-2.1669172E+001
1.6501784E+007	5.0954585E+006	1.5846863E-001	-1.7159761E+001
1.6318527E+007	5.6101470E+006	1.4123619E-001	-1.8972460E+001
1.8226986E+007	5.4044235E+006	1.2590662E-001	-1.6515444E+001
1.8458806E+007	6.0187120E+006	1.1221990E-001	-1.8059170E+001
1.9888456E+007	6.0444180E+006	1.0002181E-001	-1.6904861E+001
2.0917708E+007	6.1620365E+006	8.9110434E-002	-1.6414167E+001
2.1086762E+007	5.9625345E+006	7.9420954E-002	-1.5788885E+001
2.2388592E+007	6.2532865E+006	7.0828199E-002	-1.5605412E+001
2.2736810E+007	5.8288320E+006	6.3119084E-002	-1.4378749E+001
2.1057470E+007	7.5168470E+006	5.6242272E-002	-1.9644947E+001
2.7317958E+007	6.4885795E+006	5.0094575E-002	-1.3361339E+001
2.6726206E+007	9.6883440E+006	4.4664517E-002	-1.9925758E+001
3.1362444E+007	6.7269170E+006	3.9821938E-002	-1.2105924E+001
3.3090696E+007	5.0918665E+006	3.5465583E-002	-8.7478371E+000
3.4268168E+007	1.0059000E+007	3.1629652E-002	-1.6358953E+001
3.3771648E+007	6.9426615E+006	2.8168708E-002	-1.1616828E+001
5.8347312E+007	1.8825292E+007	2.5115162E-002	-1.7881880E+001
5.5157864E+007	1.0087183E+007	2.2385269E-002	-1.0363638E+001
5.6318684E+007	1.1651425E+007	1.9949377E-002	-1.1688670E+001
6.2515996E+007	-5.8883613E+005	1.7787889E-002	5.3965110E-001
6.3319020E+007	9.1065790E+006	1.5841872E-002	-8.1841927E+000
6.4680124E+007	9.5489140E+006	1.4127269E-002	-8.3980789E+000
6.0988820E+007	1.0830899E+007	1.2591705E-002	-1.0070072E+001
1.2664727E+007	1.1717926E+006	1.1219755E-002	-5.2861910E+000
4.3051630E+006	-4.0816150E+006	9.9972636E-003	4.3473152E+001
