Re(Z)/Ohm,-Im(Z)/Ohm,freq/Hz,Phase(Z)/deg,Unnamed: 4
22.099098,297.08978,100003.71,-85.745872,
23.248297,332.71616,89129.305,-86.002998,
24.322168,372.34995,79433.273,-86.262711,
25.551113,416.87479,70794.984,-86.492615,
27.433758,467.17279,63093.828,-86.639282,
30.41671,523.19403,56237.012,-86.672768,
32.514572,586.04633,50122.477,-86.824417,
34.632973,655.19763,44666.715,-86.974228,
37.127529,732.40192,39814.063,-87.098,
39.954548,820.5932,35481.0,-87.212479,
43.312443,918.83899,31621.143,-87.301178,
46.774902,1030.178,28188.094,-87.400291,
51.276432,1152.0886,25116.906,-87.451599,
56.148415,1289.069,22389.031,-87.505928,
61.544971,1442.28,19948.781,-87.556557,
68.679939,1614.9312,17786.891,-87.564789,
76.38224,1808.1263,15847.683,-87.581039,
84.780251,2022.8678,14121.883,-87.600082,
94.34864,2261.2412,12590.93,-87.610764,
105.03298,2530.085,11217.713,-87.62281,
119.42661,2827.9312,10002.226,-87.581772,
135.98605,3167.467,8914.9326,-87.541679,
152.54184,3547.144,7943.9951,-87.53756,
170.7834,3965.9946,7081.583,-87.534256,
206.78293,4440.2808,6307.7358,-87.333672,
233.85284,4966.3262,5622.5879,-87.304062,
264.37674,5547.4624,5011.603,-87.271507,
301.07999,6203.5903,4466.4292,-87.221436,
340.91992,6940.0098,3981.2773,-87.187675,
387.44653,7751.6685,3548.8679,-87.138603,
442.315,8673.5352,3163.0398,-87.080681,
501.55521,9692.334,2819.0986,-87.03772,
573.30908,10839.106,2512.4104,-86.972298,
657.42767,12111.374,2239.2869,-86.892929,
749.70294,13536.713,1995.6381,-86.830032,
849.6665,15114.561,1778.2897,-86.782501,
975.19568,16886.471,1584.4927,-86.694832,
1122.291,18911.723,1412.7418,-86.603844,
1294.4263,21151.154,1258.7905,-86.497932,
1452.7688,23611.637,1121.7966,-86.479164,
1669.427,26384.516,999.68164,-86.379555,
2050.2468,29467.889,891.42474,-86.020027,
2328.2698,32937.414,794.23932,-85.956619,
2623.6584,36781.301,707.96161,-85.91993,
2967.9849,41003.75,631.00977,-85.859962,
3352.2903,45806.234,562.33929,-85.814316,
3850.2793,51127.539,501.12231,-85.693336,
4327.6387,57020.461,446.57214,-85.659782,
4886.2495,63604.598,398.08899,-85.607033,
5548.627,71008.68,354.88681,-85.531982,
6232.5977,79182.055,316.31589,-85.499397,
7053.0605,88405.313,281.8942,-85.438553,
8701.3281,98396.633,251.20601,-84.946411,
9208.0615,110152.67,223.92496,-85.22155,
10395.956,122668.08,199.55338,-85.155838,
12052.755,137193.89,177.78128,-84.97934,
14107.579,151990.81,158.52898,-84.697075,
15170.093,169589.48,141.21979,-84.88839,
17527.363,190130.7,125.92673,-84.733025,
19989.258,212301.63,112.19009,-84.621178,
25974.43,238190.25,99.968163,-83.776543,
28968.473,268144.56,89.115646,-83.834076,
33197.262,297444.09,79.415741,-83.63166,
37015.543,333184.91,70.793182,-83.66066,
29725.316,353204.5,63.082279,-85.189384,
58035.004,393993.59,56.241825,-81.620621,
