Re(Z)/Ohm,-Im(Z)/Ohm,freq/Hz,Phase(Z)/deg,Unnamed: 4
-557333.81,691141.5,50.112232,-128.88257,
89988.297,514637.72,44.671223,-80.081673,
78201.414,577035.5,39.808899,-82.282143,
99450.266,601181.5,35.488308,-80.606926,
172646.69,741625.06,31.629578,-76.895226,
128344.99,733189.63,28.187037,-80.070961,
144966.64,870641.38,25.120602,-80.546661,
169653.97,976245.69,22.385418,-80.141479,
204688.72,1071332.3,19.955338,-79.183426,
276610.19,1117242.3,17.775894,-76.09417,
251307.08,1304541.5,15.846864,-79.096107,
284728.41,1625338.0,14.127493,-80.06369,
489044.63,1786257.6,12.587309,-74.688667,
579408.31,2012605.1,11.216775,-73.939438,
635444.5,2126158.0,9.9968166,-73.360176,
740120.0,2200352.3,8.9082127,-71.408897,
780820.19,2637091.3,7.9395623,-73.506424,
945140.88,2935287.3,7.0765615,-72.151825,
1117545.5,3264482.3,6.3105822,-71.10215,
1476929.1,3287047.8,5.6245475,-65.804771,
1651410.8,3659711.8,5.0112233,-65.713165,
1834863.6,3548024.5,4.4642835,-62.654221,
1600821.6,4791111.0,3.9819033,-71.52433,
2753681.0,4824217.0,3.5479143,-60.282116,
2407129.5,4793061.0,3.1629577,-63.333679,
3157912.5,5944305.0,2.818361,-62.020523,
3722483.8,5225008.5,2.5112481,-54.532566,
4101520.0,5808370.5,2.2398233,-54.772575,
4894301.5,5563993.0,1.9950197,-48.663902,
5903341.5,5984634.5,1.7775893,-45.391796,
5528249.5,6394897.0,1.5846864,-49.157299,
5754239.0,5277126.5,1.4122353,-42.523472,
7671181.0,6226398.5,1.2582541,-39.064892,
8384534.5,5535689.5,1.1224822,-33.433838,
8034467.0,6202820.5,1.0000616,-37.669086,
8535786.0,5596598.5,0.89082122,-33.251369,
9175459.0,5583313.0,0.79444051,-31.320724,
11178699.0,6617164.0,0.70784986,-30.623158,
10365685.0,5874733.5,0.63126236,-29.54232,
10718677.0,5319191.0,0.562536,-26.39311,
12635440.0,5890778.5,0.50118715,-24.995443,
11859081.0,5767330.5,0.44642836,-25.934669,
12666146.0,5108575.5,0.39821118,-21.96546,
13558612.0,5009412.5,0.35475865,-20.277433,
12093259.0,5926973.5,0.31619295,-26.10973,
14405893.0,4763664.5,0.2819173,-18.297745,
13024573.0,5595598.5,0.25117323,-23.249258,
14191629.0,5054738.5,0.22391155,-19.604753,
14808846.0,5246138.0,0.19957349,-19.50705,
15872428.0,6306516.0,0.17779917,-21.669172,
16501784.0,5095458.5,0.15846863,-17.159761,
16318527.0,5610147.0,0.14123619,-18.97246,
18226986.0,5404423.5,0.12590662,-16.515444,
18458806.0,6018712.0,0.1122199,-18.05917,
19888456.0,6044418.0,0.10002181,-16.904861,
20917708.0,6162036.5,0.089110434,-16.414167,
21086762.0,5962534.5,0.079420954,-15.788885,
22388592.0,6253286.5,0.070828199,-15.605412,
22736810.0,5828832.0,0.063119084,-14.378749,
21057470.0,7516847.0,0.056242272,-19.644947,
27317958.0,6488579.5,0.050094575,-13.361339,
26726206.0,9688344.0,0.044664517,-19.925758,
31362444.0,6726917.0,0.039821938,-12.105924,
33090696.0,5091866.5,0.035465583,-8.7478371,
34268168.0,10059000.0,0.031629652,-16.358953,
33771648.0,6942661.5,0.028168708,-11.616828,
58347312.0,18825292.0,0.025115162,-17.88188,
55157864.0,10087183.0,0.022385269,-10.363638,
56318684.0,11651425.0,0.019949377,-11.68867,
62515996.0,-588836.13,0.017787889,0.5396511,
63319020.0,9106579.0,0.015841872,-8.1841927,
64680124.0,9548914.0,0.014127269,-8.3980789,
60988820.0,10830899.0,0.012591705,-10.070072,
12664727.0,1171792.6,0.011219755,-5.286191,
4305163.0,-4081615.0,0.0099972636,43.473152,
