freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg,Unnamed: 5
0.00019952623,1101.0,0.00012470005,1101.0,-6.4893611e-06,
0.00015848932,1101.0,0.00010376298,1101.0,-5.3998015e-06,
0.00012589255,1101.0,8.6430919e-05,1101.0,-4.4978447e-06,
9.9999997e-05,1101.0,7.2066767e-05,1101.0,-3.7503378e-06,
7.9432823e-05,1101.0,6.014897e-05,1101.0,-3.1301383e-06,
6.3095737e-05,1101.0,5.024999e-05,1101.0,-2.6149976e-06,
5.0118724e-05,1101.0,4.2018964e-05,1101.0,-2.1866572e-06,
3.9810719e-05,1101.0,3.5167632e-05,1101.0,-1.8301153e-06,
3.1622778e-05,1101.0,2.9458844e-05,1101.0,-1.5330313e-06,
2.5118865e-05,1101.0,2.4697298e-05,1101.0,-1.2852415e-06,
1.9952624e-05,1101.0,2.0721949e-05,1101.0,-1.0783654e-06,
1.5848931e-05,1101.0,1.7399845e-05,1101.0,-9.0548383e-07,
1.2589254e-05,1101.0,1.4621103e-05,1101.0,-7.6087878e-07,
9.9999997e-06,1101.0,1.2294793e-05,1101.0,-6.398181e-07,
7.9432821e-06,1101.0,1.0345589e-05,1101.0,-5.3838198e-07,
6.3095736e-06,1101.0,8.7110175e-06,1101.0,-4.533193e-07,
5.0118724e-06,1101.0,7.3392098e-06,1101.0,-3.8193073e-07,
3.9810716e-06,1101.0,6.187051e-06,1101.0,-3.2197269e-07,
3.1622776e-06,1101.0,5.2186697e-06,1101.0,-2.7157836e-07,
2.5118864e-06,1101.0,4.4041853e-06,1101.0,-2.2919276e-07,
1.9952622e-06,1101.0,3.7186849e-06,1101.0,-1.9351948e-07,
1.5848932e-06,1101.0,3.1413761e-06,1101.0,-1.6347646e-07,
1.2589254e-06,1101.0,2.6548887e-06,1101.0,-1.3815979e-07,
1e-06,1101.0,2.2446993e-06,1101.0,-1.1681362e-07,
